calories,carb,fat,name,protein,sugar,type
124,17.2,3.8,Cream Cheese and Tomato Toast,5.8,3.7,Appetizers
151,12.0,10.2,Peanut Butter & Carrots,5.6,5.5,Appetizers
52,13.8,0.2,Apple,0.3,10.4,Appetizers
192,9.2,14.1,Crispy Garlic Edamame,9.3,2.2,Appetizers
125,4.5,7.4,Turkey Kale and Goat Cheese Roll Up,10.6,1.9,Appetizers
51,6.6,2.3,Lemon Steamed Broccoli,2.8,1.7,Appetizers
165,4.7,14.6,Asparagus Parmesan,5.3,1.4,Appetizers
50,13.3,0.1,Cinnamon Apple Bites,0.3,10.0,Appetizers
160,8.5,14.7,Avocado,2.0,0.7,Appetizers
281,33.4,9.5,Pizza Logs,14.5,0.7,Appetizers
357,23.7,21.5,Crispy Cheese Quesadilla,16.8,1.6,Appetizers
163,36.4,0.8,Roasted Chestnuts,3.1,3.6,Appetizers
52,6.0,3.1,Stir Fried Japanese Eggplant with Ginger and Miso Recipe,1.1,3.5,Appetizers
136,6.1,11.2,Almond Butter & Celery,4.7,2.0,Appetizers
118,16.9,5.0,Foil Potatoes,2.1,0.7,Appetizers
65,3.4,4.2,Cheesy Zucchini,4.2,2.3,Appetizers
110,3.3,10.4,Baked Spinach Chips,2.6,0.4,Appetizers
186,9.1,16.4,Garlic Kale,3.8,1.8,Appetizers
123,4.8,10.6,Easy Delicious Asparagus,3.8,1.7,Appetizers
253,9.1,16.2,Scotch Egg,16.7,0.5,Appetizers
74,13.5,2.6,Acorn Squash,0.8,3.8,Appetizers
89,4.8,7.6,Grilled Eggplant Stacks with Tomato and Feta,1.6,3.1,Appetizers
143,0.7,5.4,Simple Rosemary Chicken Breast,21.7,0.0,Appetizers
219,11.4,16.0,Fish Tagine with Tomatoes Capers and Cinnamon,8.9,0.8,Appetizers
101,13.5,3.4,Cottage Cheese Potatoes,4.3,1.0,Appetizers
34,5.6,0.9,Cauliflower and Hummus Snack,2.3,1.8,Appetizers
294,43.0,8.4,Baked Brie Toasts,11.9,3.9,Appetizers
170,11.6,13.7,Black Olive Spread with Crostini,1.9,0.0,Appetizers
131,6.7,10.1,Peanut Butter & Celery,5.4,2.8,Appetizers
383,18.0,29.7,Bourbon Glazed Cocktail Sausages,10.9,13.4,Appetizers
156,17.5,5.8,Goat Cheese on Toasted Bread with Tomato,8.9,3.6,Appetizers
374,60.6,13.6,Ginger Cookies,6.1,32.4,Appetizers
184,8.6,10.8,Monte Cubano,12.8,2.2,Appetizers
91,14.8,3.7,Creamed Corn with Basil,2.6,5.0,Appetizers
94,14.0,3.8,Easy Potatos and Onions,1.7,1.9,Appetizers
119,10.0,7.2,Complete Breakfast Scrambled Eggs,4.0,1.7,Appetizers
96,13.9,3.9,Mashed Potatoes with Carrots and Leeks,2.0,1.9,Appetizers
162,8.8,14.6,Asian Avocado,2.2,0.3,Appetizers
126,17.8,5.0,Camembert with Figs and Honey,4.5,15.5,Appetizers
73,5.8,5.3,Roasted Cauliflower,2.8,2.9,Appetizers
212,23.1,6.7,Easy Chicken Taquitos,15.2,0.5,Appetizers
96,10.2,6.3,Curried Baked Carrot Chips,1.2,4.4,Appetizers
180,17.7,7.3,Salmon and Cream Cheese on Toast,11.2,2.9,Appetizers
153,12.8,9.5,Fancy Potatoes,4.6,1.1,Appetizers
157,27.8,4.9,Holiday Spiced Yams,1.4,14.4,Appetizers
70,6.4,4.3,Green Beans with Bacon Recipe,2.9,3.0,Appetizers
113,0.9,4.4,Poached Salmon,13.9,0.4,Appetizers
132,14.9,8.6,Caramelized Butternut Squash,1.0,6.8,Appetizers
127,3.4,6.1,Spicy Calamari with Bacon and Scallions,13.7,0.4,Appetizers
57,4.3,4.2,Classic Mashed Cauliflower,1.7,1.7,Appetizers
244,48.6,6.0,Cheese stuffed Prunes with Almonds,4.4,28.7,Appetizers
237,37.9,5.3,Fresh Tomato and Herbed Ricotta Bruschetta,9.8,2.7,Appetizers
193,19.1,10.8,Nutribullet Hummus with Veggie Sticks,7.3,3.1,Appetizers
118,21.4,3.0,Pears and Graham Crackers with Honey Yogurt Dip,2.4,11.2,Appetizers
384,72.1,5.6,Murukku,10.2,0.5,Appetizers
220,7.3,13.5,Honey Glazed Chicken and Bacon Bites,16.7,6.9,Appetizers
264,42.5,8.9,Pumpkin Cornbread,4.9,16.7,Appetizers
478,19.4,43.7,Spring Rolls,3.4,0.7,Appetizers
251,26.0,13.3,Bacon and Cheese Croquettes,6.5,1.9,Appetizers
158,1.7,8.8,Chicken Peek a Boos,17.5,0.3,Appetizers
124,19.1,5.0,Easy Homemade Sweet Potato Chips,1.5,3.9,Appetizers
157,3.8,9.2,Turkey Jalepeno Poppers,15.1,1.9,Appetizers
