calories,carb,fat,name,protein,sugar,type
101,5.1,5.6,Italian Baked Eggs,7.8,2.9,Breakfast foods
174,2.0,15.7,Broccoli and Cheddar Mini Quiches,6.8,0.8,Breakfast foods
127,4.2,7.8,Prosciutto Paleo Breakfast Muffins,10.2,1.0,Breakfast foods
156,2.7,11.4,Egg and Kale Muffin,10.7,0.5,Breakfast foods
98,18.6,1.4,Baked Blueberry Peach Oatmeal,4.3,8.4,Breakfast foods
39,9.2,0.2,Basic Vegetable Juice,1.2,5.1,Breakfast foods
128,12.8,0.9,Banana Protein Pancakes with Yogurt Glaze,18.1,3.1,Breakfast foods
187,14.4,14.3,Overnight Carrot Cake Porridge,3.3,2.9,Breakfast foods
99,11.4,3.6,Avocado Breakfast Smoothie,6.4,7.1,Breakfast foods
55,10.1,1.1,Berry Bran Shake,2.2,5.7,Breakfast foods
54,11.5,0.2,Cinnamon Yogurt with Sliced Apple,2.5,9.3,Breakfast foods
257,39.8,9.6,Breakfast Carrot Cake,4.8,13.6,Breakfast foods
173,25.6,4.4,Pumpkin Spice Breakfast Muffins,8.8,19.9,Breakfast foods
457,26.4,36.0,Peanut Butter Swirl Brownies,9.2,16.2,Breakfast foods
227,34.8,9.7,Paleo Breakfast Cookies,2.9,21.7,Breakfast foods
181,34.5,4.8,Blueberry Banana Breakfast Bars,4.1,14.1,Breakfast foods
341,32.4,23.2,Strawberry Banana Paleo Breakfast Bars,5.3,11.7,Breakfast foods
37,4.7,0.5,Stuffed Breakfast Peppers,3.5,2.9,Breakfast foods
100,22.1,1.5,Buckwheat Banana Pancakes,1.7,11.1,Breakfast foods
256,5.1,22.2,Coconut Flour Waffles,9.4,1.5,Breakfast foods
200,25.9,9.7,Quinoa Cinnamon Breakfast Bowl,4.2,7.3,Breakfast foods
151,32.7,3.6,Oat Bran Pancake,13.5,1.3,Breakfast foods
77,11.6,2.5,Oatmeal with Maple Syrup Almond Milk and Bacon,2.8,4.1,Breakfast foods
178,9.9,13.8,Overnight Blackberry Coconut Chia Seed Pudding,5.5,2.3,Breakfast foods
190,1.5,15.2,Scrambled Egg with Tofu,12.0,0.3,Breakfast foods
107,24.0,1.2,Baked Banana Oatmeal Cups with Blueberries,2.5,7.5,Breakfast foods
232,12.2,16.3,Bacon Egg and Tomato Club Sandwiches,9.0,2.2,Breakfast foods
242,17.9,13.1,German French Toast,13.1,3.2,Breakfast foods
101,2.6,6.6,Practical Paleo Swirly Crustless Quiche,7.5,1.6,Breakfast foods
187,21.6,9.3,Big Apple Pancake,5.3,15.2,Breakfast foods
184,3.1,14.6,Caramelized onion frittata,9.6,1.3,Breakfast foods
234,8.7,19.0,Breakfast Potatoes and Bacon,7.0,1.3,Breakfast foods
196,31.9,5.8,Blueberry and Brazil Nut Oatmeal,6.3,7.3,Breakfast foods
212,28.7,6.8,Peanut Butter Yogurt and Oats,12.1,7.7,Breakfast foods
183,2.6,14.0,Crustless Spinach Quiche,12.1,1.0,Breakfast foods
275,14.8,18.8,Easy Bacon and Cheese Quiche,11.6,1.6,Breakfast foods
321,67.2,6.3,Chocolate Granola,8.8,16.1,Breakfast foods
84,18.0,1.1,Oats with Rice Milk and Banana,1.6,1.8,Breakfast foods
189,34.9,2.9,Cr pes,5.6,15.5,Breakfast foods
119,4.1,7.9,Greens and Turkey Breakfast Bowl,8.8,1.0,Breakfast foods
86,2.3,6.2,Herb Omelette with Fried Tomatoes,5.6,0.1,Breakfast foods
66,12.5,1.8,Super Green Smoothie Bowl,1.1,6.5,Breakfast foods
218,32.4,4.4,Bagel with Cream Cheese and Lox,12.0,6.0,Breakfast foods
260,26.4,10.7,Pesto Pasta with Grilled Chicken,13.3,0.3,Breakfast foods
116,13.5,4.2,Chia and Guava Quark,7.2,3.5,Breakfast foods
157,1.4,10.6,Tuna Melt Omelet,13.5,0.6,Breakfast foods
90,11.9,3.1,nana Cream Pie Oatmeal,4.9,5.2,Breakfast foods
94,10.1,4.3,Berry Chia Pudding,4.4,7.0,Breakfast foods
37,8.2,0.6,Apple Strawberry and Flax Smoothie,0.6,4.9,Breakfast foods
81,6.8,4.5,Tofu Scramble and Avocado Toast,4.5,1.3,Breakfast foods
83,10.6,3.1,Spiced Sweet Potato and Goat Cheese Egg Skillet,3.6,2.4,Breakfast foods
220,17.0,12.7,Breakfast Taquitos,10.7,1.4,Breakfast foods
180,26.0,7.0,Banana Oat Baked French Toast,5.3,7.1,Breakfast foods
202,20.3,11.6,Muesli and Yogurt with Chia,7.3,7.1,Breakfast foods
122,5.0,8.0,Garlic and Onion Frittata,7.7,1.9,Breakfast foods
212,18.9,9.0,Breakfast pita pizza,15.0,0.8,Breakfast foods
253,37.1,9.5,Fluffy Whole Wheat Biscuits,6.7,4.5,Breakfast foods
125,21.6,3.3,Raspberry Coconut Parfait,3.8,16.5,Breakfast foods
100,11.3,5.1,Match Green Tea Chia Pudding,2.9,4.3,Breakfast foods
220,29.2,10.2,Vegan Oatmeal Pancakes,6.1,6.6,Breakfast foods
43,10.6,0.2,Pear Oatmeal,0.9,4.1,Breakfast foods
182,9.9,11.6,Egg Whites on Toast,9.7,1.4,Breakfast foods
169,14.1,12.5,Overnight Coconut Chia Pudding Breakfast Bowl,3.0,7.3,Breakfast foods
35,8.9,0.2,Cinnamon Banana and Nectarine Smoothie,0.6,5.2,Breakfast foods
