calories,carb,fat,name,protein,sugar,type
56,10.4,1.7,Tropical Spinach Cooler,0.9,6.2,Desserts
200,30.2,7.9,Fresh Fig Bars,4.1,19.0,Desserts
315,41.6,18.1,Banana Oat Cookies,2.2,27.4,Desserts
98,15.5,4.9,Baked Winter Squash,0.9,3.5,Desserts
106,9.8,4.5,Vanilla Dessert Cream,5.2,9.3,Desserts
158,21.9,2.4,Blueberry Banana Whey Muffins,12.3,5.7,Desserts
204,30.9,3.9,Pumpkin Protein Bars,11.5,1.7,Desserts
206,9.7,20.1,Coconut Chocolate Mousse,3.0,3.7,Desserts
565,28.5,50.7,Paleo Cookie Dough Bites,7.1,9.0,Desserts
308,22.5,24.4,Frozen Coconut Almond Butter and Banana Sandwich,5.4,9.9,Desserts
599,12.0,60.0,Low Carb Chocolate Bar,4.4,0.8,Desserts
191,7.5,13.0,High Protein Cottage Cheese Mousse,14.3,3.1,Desserts
190,19.6,12.1,Roasted Peach Streusel,2.4,14.7,Desserts
271,33.4,15.1,Banana Tartes Tatin,2.5,16.4,Desserts
217,31.2,9.4,Chocolate Almond and Banana Parfaits,5.0,12.2,Desserts
426,70.5,14.8,Peanut butter s mores,6.5,43.6,Desserts
377,45.6,20.3,Scottish Oat Scones,6.2,13.6,Desserts
234,33.8,10.1,Deep Dish Rhubarb Pie with Crumb Topping,3.1,17.3,Desserts
318,34.8,20.3,Dark Chocolate and Lime Souffles,5.1,17.2,Desserts
190,20.3,11.7,Mandarin Orange Napoleons,2.2,15.6,Desserts
282,35.4,16.5,nute No cook Chocolate Pudding,2.6,26.5,Desserts
400,44.0,23.4,Mug Brownie,4.2,20.2,Desserts
251,34.9,11.2,Banana Bread with Almond Butter and Honey,5.6,17.8,Desserts
68,16.4,0.5,Very Berry Ice Cream,0.9,11.1,Desserts
139,19.0,4.5,Strawberry Grape Granola Parfait,6.3,11.7,Desserts
397,54.6,18.3,Quick Coconut Macaroons,5.5,39.2,Desserts
135,14.8,3.6,Chocolate Protein Muffins,14.8,3.2,Desserts
382,62.8,12.9,Lemonade Tea Cake Cookies,4.4,38.4,Desserts
377,30.8,24.0,Almond Peanut Butter Chip Muffins,11.3,9.7,Desserts
96,22.8,0.4,Lemon Ginger Frozen Yogurt,2.9,20.2,Desserts
340,24.5,25.9,Vegan Avocado Truffles,4.1,11.9,Desserts
205,23.5,11.5,Cauliflower Rice Pudding,3.8,17.9,Desserts
230,13.4,18.7,Keto Coconut Chia Bars,5.1,3.7,Desserts
82,20.7,0.2,Rhubarb and Strawberry Compote with Fresh Mint,0.6,18.2,Desserts
57,9.8,0.3,Cinnamon Apple Delight,4.5,7.3,Desserts
431,59.5,23.2,Chocolate Cornflake Cakes,3.4,17.4,Desserts
63,15.8,0.3,Apple Crumble,1.1,8.0,Desserts
487,53.6,27.6,gredient Chocolate Oatmeal No Bake Cookies,11.3,12.2,Desserts
214,20.1,14.1,Ice Cream with Roasted Grapes and Walnut Oil,3.0,17.5,Desserts
251,10.5,19.3,Sugar Free Fudge,8.5,5.3,Desserts
416,54.9,21.0,Glazed Apricot Twists,4.1,24.9,Desserts
124,5.3,3.5,Peanut Butter Protein Yogurt,18.3,3.2,Desserts
333,25.5,24.1,No bake Strawberry Mascarpone and Coconut Cheesecake,4.6,12.3,Desserts
188,29.9,9.0,Fried Honey Banana,0.9,20.5,Desserts
254,25.8,16.1,Chocolate Mousse II,7.2,21.9,Desserts
108,16.5,3.1,Creamsicle Milkshake,3.2,13.1,Desserts
173,17.0,10.5,Roasted Blueberry Quinoa Parfaits with Coconut Granola,5.0,8.9,Desserts
442,64.6,19.8,Cinnamon Caramel Corn Chex Mix,6.7,41.5,Desserts
304,7.6,29.9,Peanut Butter Mouse,6.1,2.7,Desserts
142,25.4,4.9,Maple Baked Apples,1.5,20.7,Desserts
182,21.4,8.1,Caramelized Banana with Rum Sauce,2.6,10.6,Desserts
74,18.9,0.3,Honey Baked Nectarines,0.9,16.5,Desserts
298,33.0,17.9,Red White and Blue Brownie Parfait,4.3,9.7,Desserts
206,19.2,13.5,Dairy Free Avocado Ice Cream,1.6,11.6,Desserts
53,10.5,0.5,Triple Berry Medley Smoothie,2.5,6.6,Desserts
187,29.9,5.9,Sweet Millet,4.8,5.8,Desserts
410,18.8,35.9,Mexican Chocolate Pot De Cr me,5.5,7.6,Desserts
323,29.1,22.0,Steamed Golden Syrup Spongecake,5.0,16.3,Desserts
354,36.4,22.3,Country Banana Bread,3.5,4.3,Desserts
169,29.9,5.4,Old Fashioned Fruit Crumble,2.8,4.3,Desserts
72,13.6,1.1,Banana Ice Cream,2.2,8.6,Desserts
105,4.4,8.9,Chocolate Avocado Protein Mousse,3.9,0.1,Desserts
249,33.1,13.9,Avocado Brownies with Avocado Frosting,5.3,20.4,Desserts
463,26.8,36.5,Apple Cookies,13.0,11.4,Desserts
348,12.1,32.9,Vanilla Cream,1.8,12.1,Desserts
315,67.9,6.6,Overnight Cocoa Chia Pudding,5.4,51.0,Desserts
212,36.9,5.2,Cherry Cake,7.3,26.1,Desserts
341,28.4,24.5,S’mores Cheesecakes,4.8,18.6,Desserts
454,56.3,28.0,Flourless Double Chocolate Brownies,4.4,47.1,Desserts
198,24.7,6.2,Protein Berry Crumble,13.1,10.2,Desserts
410,63.8,16.0,Cranberry Sugar Cookies,4.3,38.8,Desserts
161,24.3,7.5,Gluten Free Chocolate Banana Cookies,3.0,9.1,Desserts
318,34.8,20.3,Dark Chocolate Lime Souffles,5.1,17.2,Desserts
55,14.0,0.2,Honey Grapefruit with Banana,0.8,10.6,Desserts
496,62.4,28.8,Halloween Peanut Butter and Toffee Candy Bar,6.0,51.6,Desserts
244,35.5,9.6,Almond Pancakes,5.9,30.2,Desserts
95,3.9,3.0,Vegan Chocolate Tofu Mousse,14.4,1.7,Desserts
210,33.6,7.1,Banana Nut Bread,4.5,12.1,Desserts
338,4.4,34.4,Strawberry Cheesecake Fat Bombs,3.7,3.2,Desserts
65,15.2,0.6,Very Berry Ice Cream,1.1,9.3,Desserts
436,53.6,22.6,Vegan GF Rice Krispies,9.8,3.9,Desserts
187,7.6,18.2,Avocado Coconut & Lime Popsicles,2.1,2.3,Desserts
217,38.3,4.4,Chocolate Banana Protein Muffins,10.9,19.6,Desserts
156,29.9,5.4,Chocolate Dipped Banana Bites,1.6,19.5,Desserts
238,41.0,5.9,Double Fudge Banana Muffins,7.0,13.7,Desserts
103,22.1,2.1,Banana Chocolate and Coconut ice pops,1.3,13.0,Desserts
414,35.0,29.2,Flourless Chocolate Cake,7.1,5.5,Desserts
366,49.6,17.8,Vegan Chocolate Ginger Orange Cupcakes,2.7,34.1,Desserts
101,11.1,4.2,Strawberry Cheesecake Chia Seed Pudding,5.1,6.9,Desserts
