calories,carb,fat,name,protein,sugar,type
51,8.7,0.9,Creamy Mango Smoothie,2.5,8.1,Drinks
102,13.5,1.8,Fruit yogurt smoothie,8.9,9.3,Drinks
64,6.3,1.3,Tropical Skin Cleanser Green Smoothie,7.3,4.1,Drinks
44,10.8,0.3,Mango Kale and Blueberry Smoothie,1.0,6.7,Drinks
46,12.0,0.3,Nutribullet Immunity Mix,1.1,8.5,Drinks
61,12.1,0.7,Clementine Smoothie,2.6,9.9,Drinks
197,11.7,12.3,Coconut Banana Protein Shake,11.9,6.1,Drinks
49,12.3,0.2,Pineapple Raspberry Smoothie,0.6,8.1,Drinks
33,9.9,0.1,Lemonade,0.3,7.0,Drinks
67,12.5,1.9,Green Pineapple Smoothie Pi a Colada Smoothie,1.0,8.9,Drinks
55,13.6,0.3,Orange Banana and Kale Smoothie,1.2,7.7,Drinks
41,10.6,0.2,Super Green Energy Drink,0.7,8.1,Drinks
8,2.2,0.0,Non Alcoholic Paleo Strawberry Mojito,0.1,1.8,Drinks
60,9.3,0.6,Peach Smoothie,4.8,7.3,Drinks
19,4.4,0.2,Homemade Tomato Juice,0.9,2.7,Drinks
39,9.2,0.2,Pineapple Green Shake,1.0,6.3,Drinks
95,6.8,6.7,Strawberry Coconut Milkshake,2.2,3.1,Drinks
32,7.3,0.2,Veggie Juice Cleanse,0.9,4.0,Drinks
38,9.0,0.3,Nutribullet Vita Berry Blast,1.0,4.7,Drinks
39,10.0,0.3,Lemon Ginger Blast,1.1,5.5,Drinks
40,7.9,0.3,Popeye Power Smoothie,2.2,6.7,Drinks
148,19.1,7.6,Banana Yogurt,4.0,5.4,Drinks
31,7.5,0.2,Morning Juice,1.1,4.1,Drinks
79,17.1,0.1,Coconut Mojito,0.5,15.6,Drinks
48,8.6,1.6,Apple Colon Cleanse,0.9,5.6,Drinks
31,7.9,0.1,Cucumber Pineapple Melon Smoothie,0.6,6.9,Drinks
66,14.4,0.6,Berry Green Smoothie,2.5,8.7,Drinks
49,12.4,0.2,Mango Fruit Smoothie,0.4,11.0,Drinks
64,6.3,1.3,Skin Cleansing Tropical Green Smoothie,7.3,4.1,Drinks
114,10.3,8.7,Coconut Banana Avocado Smoothie,1.3,5.1,Drinks
45,10.9,0.3,Green Kiwi Smoothie,1.1,6.0,Drinks
52,12.7,0.2,Breakfast fruit smoothie,0.8,8.4,Drinks
27,4.3,0.1,Strawberry Smoothie,2.3,3.8,Drinks
53,13.9,0.2,Naked Berry Blast,0.4,9.8,Drinks
54,10.5,1.0,Peachy Mint Shake,1.4,8.4,Drinks
57,5.5,0.9,Strawberry Coconut Daiquiri,0.2,4.0,Drinks
56,10.9,0.7,Strawberry Orange Yogurt Smoothie,2.2,8.0,Drinks
75,12.1,0.5,Orange Breakfast Fruit Smoothie,6.9,7.3,Drinks
32,4.7,0.2,Mango Strawberry Lassi,3.2,4.0,Drinks
51,8.8,0.8,Cinnamon Clove and Mango Smoothie,3.3,5.4,Drinks
81,14.0,1.7,Java Banana Quinoa Smoothie,2.9,1.5,Drinks
54,5.2,2.5,Almond Milk Mango Smoothie,2.8,0.2,Drinks
74,11.0,1.9,Warmed Cinnamon and Nutmeg Milk with Marshmallows,3.1,10.7,Drinks
50,6.6,1.2,Pineapple Greek Yogurt Smoothie,3.3,5.3,Drinks
18,3.8,0.3,Virgin Bloody Mary,0.8,2.4,Drinks
76,1.1,6.5,Easy Keto Whey Protein Coffee,3.3,0.8,Drinks
50,9.9,0.6,Papaya Shake Recipe,2.0,9.1,Drinks
95,9.3,5.5,Lime Avocado Milkshake,2.7,7.6,Drinks
67,8.7,0.4,Indian Turmeric Ginger Lassi,7.4,6.9,Drinks
118,16.3,3.2,Chocolate Banana Smoothie,7.6,10.1,Drinks
35,8.9,0.2,Pear Banana Smoothie,0.6,5.0,Drinks
51,12.8,0.2,Tropical Mint Smoothie,1.0,9.6,Drinks
37,8.7,0.1,Super Easy Blended Salad,1.5,3.9,Drinks
54,4.3,3.8,Chai Tea Latte,1.0,3.8,Drinks
39,9.8,0.2,Blueberry Watermelon Smoothie,0.7,7.3,Drinks
50,12.9,0.2,Raspberry Pear and Cucumber Juice,0.6,7.5,Drinks
21,5.5,0.2,Srawberry Lemon and Ginger Shot,0.4,2.6,Drinks
64,13.4,1.1,Orange Mango Smoothie with Chia,1.2,10.4,Drinks
87,4.7,7.6,Walnut Spinach and Avocado Smoothie,2.0,0.5,Drinks
30,6.8,0.5,Fennel Smoothie,0.9,3.9,Drinks
120,23.1,3.2,Banana Blueberry Smoothie,2.4,13.9,Drinks
87,12.1,2.4,Fruit and Yogurt Smoothie,5.6,4.8,Drinks
53,8.7,2.2,Green Ginger Berry Smoothie,0.9,4.0,Drinks
30,5.7,0.8,Watermelon Acai Smoothie,0.7,3.8,Drinks
36,4.8,0.2,Post Workout Banana Protein Smoothie,4.1,2.3,Drinks
41,6.0,1.7,Vanilla Milkshake,0.7,5.0,Drinks
16,3.5,0.1,Yogurt Banana Pineapple Smoothie,0.6,2.6,Drinks
92,8.6,5.8,Peanut Butter and Banana Shake,2.6,3.2,Drinks
79,13.3,2.2,Creamy Pineapple Smoothie,2.0,12.7,Drinks
74,5.5,4.2,Strawberry Yogurt Smoothie,3.7,3.5,Drinks
82,13.8,2.2,Creamy Clementine Smoothie,2.7,10.8,Drinks
27,4.6,0.9,Strawberry Chamomile Smoothies,0.7,1.9,Drinks
52,5.0,2.4,Matcha Frappe,2.6,3.5,Drinks
53,14.1,0.2,Warm Apple & Turmeric Drink,0.3,10.4,Drinks
53,12.8,0.5,Lemon Berry Honey Smoothie,0.9,7.6,Drinks
137,5.7,12.5,Iced Coconut Matcha Latte,2.5,3.9,Drinks
35,7.7,0.4,Chard Lime and Mint Smoothie,1.0,6.0,Drinks
37,9.4,0.1,Orange Aloe Cleanse,0.7,4.7,Drinks
66,11.0,1.2,Steaming Mocha Cocoa,3.6,9.7,Drinks
13,3.3,0.1,Peach Frozen Green Tea,0.3,2.5,Drinks
36,7.6,0.6,Apple Melon and Greens Smoothie,1.2,5.9,Drinks
180,37.7,0.1,Spiced White Wine,0.4,35.5,Drinks
82,10.1,3.7,Peanut Butter Spinach and Kale Smoothie,3.4,6.4,Drinks
82,5.8,6.4,Avocado Shake,1.7,3.4,Drinks
89,8.5,0.1,Strawberry Daiquiri,0.4,4.8,Drinks
105,9.1,3.8,Chocolate Peanut Butter Oatmeal Protein Shake,10.2,0.7,Drinks
43,8.9,1.0,Strawberry Chia Watermelon Smoothie,0.9,4.1,Drinks
29,7.0,0.3,Green Lemonade Juice,1.1,4.0,Drinks
15,3.6,0.1,Cucumber Cooler,0.4,2.7,Drinks
47,10.8,0.5,Green Vegan Smoothie,1.3,7.0,Drinks
30,7.2,0.2,Strawberry Spinach Smoothie,0.5,4.5,Drinks
6,1.8,0.0,Watermelonade,0.1,1.5,Drinks
57,12.0,1.1,Tropical Skin Cleansing Smoothie,0.8,10.3,Drinks
30,7.1,0.2,Garden Variety Green Juice,0.9,4.9,Drinks
34,8.3,0.2,Banana Mango Smoothie,0.7,6.1,Drinks
38,9.2,0.2,Pineapple Kale Smoothie,0.8,7.5,Drinks
79,11.9,3.6,Coconut Pineapple Orange Smoothie,1.3,8.4,Drinks
123,7.9,10.7,Tropical Green Smoothie,1.7,5.0,Drinks
73,10.3,3.4,Blueberry Blast Smoothie,2.1,6.8,Drinks
99,10.7,3.6,Banana Smoothie,6.9,6.0,Drinks
41,9.9,0.2,Carrot Orange Grapefruit Juice,0.9,5.3,Drinks
38,8.5,0.5,Ginger Green Juice,2.0,4.0,Drinks
78,11.1,1.3,Blueberry Banana Smoothie,6.2,7.3,Drinks
169,24.7,8.2,Creamy Mango Sorbet,0.8,24.1,Drinks
3,0.7,0.0,Strawberry Flavored Water,0.1,0.5,Drinks
48,0.2,0.0,Summer Cocktail,0.0,0.0,Drinks
21,5.2,0.3,Lemon Berry Smoothie,0.2,3.3,Drinks
53,6.7,3.1,Veggie Apple Smoothie,0.7,3.5,Drinks
86,13.2,1.9,Berry Super Smoothie,4.1,5.3,Drinks
79,12.3,2.1,Almond Cinnamon Hot Cocoa,3.4,10.9,Drinks
45,8.6,0.2,Mango Lassi,3.0,8.0,Drinks
17,3.5,0.1,Tropical Fruit Smoothie,1.0,2.7,Drinks
53,13.6,0.2,Mango Pineapple Smoothie,0.7,10.5,Drinks
51,5.6,1.3,Strawberry Almond Trim Smoothie,4.4,2.2,Drinks
23,6.0,0.1,Ginger Apple and Mint Green Smoothie,0.3,4.2,Drinks
137,14.3,7.4,White Chocolate Hot Cocoa,3.5,14.0,Drinks
84,16.3,2.4,Antioxidant Smoothie,1.6,11.4,Drinks
87,7.3,4.6,Peach Raspberry Smoothie,4.2,4.0,Drinks
30,7.4,0.2,Strawberry Spinach Green Smoothie,0.6,4.3,Drinks
39,8.6,0.4,Raspberry Mango Sunrise Smoothie,1.1,6.5,Drinks
121,20.5,4.0,Banana Coffee Cashew and Cocoa Smoothie,2.9,10.2,Drinks
72,11.7,2.5,Pre Workout Green Smoothie,1.6,3.7,Drinks
52,6.8,2.8,Nutribullet Protein Powerhouse,1.4,3.1,Drinks
36,9.0,0.2,Tropical Smoothie,0.5,6.3,Drinks
39,9.2,0.3,Post Workout Green Smoothie,1.2,6.5,Drinks
96,17.4,2.0,Tropical Strawberry Swirl Smoothies,2.8,14.7,Drinks
62,15.4,0.2,Orange Banana and Grape Smoothie,0.8,10.8,Drinks
92,18.1,1.4,Chocolate Strawberry Banana Milkshake,2.2,14.9,Drinks
115,5.3,9.8,The Fill Me Up Until Lunch Alkaline Smoothie,3.5,0.6,Drinks
105,9.8,5.9,Chia Seed Pudding,3.0,0.2,Drinks
57,10.8,1.8,Red Passion Smoothie,0.8,6.0,Drinks
69,0.0,7.8,Keto Coffee,0.2,0.0,Drinks
43,10.3,0.2,Carrot and Orange Juice,0.9,6.4,Drinks
30,7.2,0.2,Kale Spinach and Pear Smoothie,0.8,3.8,Drinks
2,0.9,0.0,Overnight Cucumber Detox Drink,0.1,0.1,Drinks
23,5.3,0.2,Tea with Milk and Sugar,0.2,5.0,Drinks
56,14.3,0.2,Breakfast Smoothie,0.5,10.1,Drinks
133,15.7,7.1,Strawberry Milkshake,2.1,13.8,Drinks
