calories,carb,fat,name,protein,sugar,type
49,5.5,0.3,Yogurt & Cantaloupe,6.3,5.2,Main dishes
149,26.4,4.4,Yam Fries,1.5,0.5,Main dishes
34,6.0,0.4,Cabbage Patch Soup,1.6,1.2,Main dishes
100,12.3,3.6,Ricotta and Grapes,5.5,8.7,Main dishes
303,24.6,24.0,Fried Plantains,1.1,11.4,Main dishes
169,24.7,8.2,Creamy Mango Sorbet,0.8,24.1,Main dishes
86,11.3,2.3,Chickpea Walnut & Cucumber Yogurt,6.2,4.6,Main dishes
48,4.5,0.4,Yogurt with Carrots & Cucumber,6.8,3.2,Main dishes
360,43.9,16.5,Cinnamon Raisin Peanut Butter Sandwich,13.7,12.6,Main dishes
218,14.3,16.9,Parmesan Potato Wedges,3.0,0.9,Main dishes
196,20.4,11.8,Ants on a Log,6.0,13.3,Main dishes
123,7.3,8.4,Tofu and Veggies in Peanut Sauce,6.3,4.4,Main dishes
132,28.1,0.9,Brown Rice and Barley,2.9,0.1,Main dishes
148,15.7,9.2,Avocado Rice Cake,2.9,2.3,Main dishes
304,5.2,28.8,Keto Pizza Fat Bombs,7.3,1.9,Main dishes
72,8.1,4.0,Roasted Broccoli,2.7,3.0,Main dishes
48,0.2,0.0,Summer Cocktail,0.0,0.0,Main dishes
42,0.2,2.8,Easy To Peel Hard Boiled Eggs,3.7,0.1,Main dishes
104,21.5,0.9,Indian Basmati Rice with Peas,2.2,0.4,Main dishes
406,1.3,33.8,Cheese slices,24.0,0.3,Main dishes
139,24.0,4.6,Chipotle Glazed Sweet Potato Spears with Lime,1.8,12.0,Main dishes
82,14.3,2.2,Two Potato Salad with Mustard Chive Dressing,1.8,2.8,Main dishes
162,13.8,10.0,Garlic and Herb Parmesan Roasted Chickpeas,5.5,0.1,Main dishes
101,16.5,3.1,Caesar Potato Salad,2.2,0.9,Main dishes
147,18.9,7.8,Grilled Sweet Potatoes with Cilantro Vinaigrette,1.4,3.3,Main dishes
127,4.2,7.8,Prosciutto Paleo Breakfast Muffins,10.2,1.0,Main dishes
124,10.2,8.9,Korean Zucchini Pancake,2.2,1.0,Main dishes
492,35.9,35.5,High Energy Trail Mix,16.3,22.2,Main dishes
21,5.2,0.3,Lemon Berry Smoothie,0.2,3.3,Main dishes
53,6.7,3.1,Veggie Apple Smoothie,0.7,3.5,Main dishes
56,10.4,1.7,Tropical Spinach Cooler,0.9,6.2,Main dishes
