calories,carb,fat,name,protein,sugar,type
144,8.5,8.2,Sweet Potato Carbonara with Spinach & Mushrooms,9.5,1.9,Pasta
241,16.9,14.3,Chicken and Bacon Carbonara,12.6,1.2,Pasta
95,10.0,3.4,Italian Style Veggie Burger with Polenta,6.4,2.8,Pasta
210,22.6,9.4,Creamy Chicken Avocado Pasta,11.1,0.3,Pasta
163,16.9,6.0,Chicken Florentine Bowtie Pasta Bake,9.9,1.4,Pasta
177,14.5,12.2,Linguini with Roasted Red Peppers Crabmeat and Basil,3.1,0.7,Pasta
408,44.6,19.0,Cheese Frico and Pepper Bucatini Pasta,14.3,0.1,Pasta
178,23.0,8.7,Peach Noodle Salad,3.7,2.6,Pasta
182,29.6,6.6,Avocado Pasta,3.3,1.4,Pasta
385,55.8,9.8,Whole Wheat Pasta with Pecorino and Pepper,17.3,2.1,Pasta
331,37.9,12.7,Peppery Pasta Carbonara with Poached Egg,15.1,1.6,Pasta
160,17.4,7.2,Linguine with Red Yellow and Orange Tomatoes,6.8,1.8,Pasta
294,44.5,7.6,Orecchiette,12.5,0.4,Pasta
72,9.8,2.6,Pasta Shell Risotto with Broccoli Rabe,2.8,0.6,Pasta
373,38.7,21.7,Alfredo Mostaccioli,9.8,0.8,Pasta
252,35.9,9.4,Linguine with Tuna Capers and Raisins,8.1,5.5,Pasta
128,24.3,2.2,Alton Brown s Baked Brown Rice,2.5,0.3,Pasta
88,13.2,3.1,Old Fashioned Potato Salad,2.3,1.6,Pasta
75,9.1,3.4,Jasmine Rice with Peanuts and Scallions,2.7,0.5,Pasta
160,25.4,4.1,Pasta Puttanesca,6.1,3.4,Pasta
123,13.3,6.6,Beef Tomato and Zucchini Parmesan Pasta,3.4,2.1,Pasta
304,31.9,14.9,Orecchiette with Pancetta and Broccoli,14.1,0.8,Pasta
95,10.5,4.4,Mushroom Alfredo Pasta Bake,4.3,1.2,Pasta
122,19.7,1.3,Macaroni Goulash,9.1,1.7,Pasta
236,3.3,19.2,Beef and Spinach Meatballs,12.6,0.1,Pasta
152,24.6,3.2,Emperor s Mixed Mushroom Vermicelli,6.6,2.3,Pasta
111,20.0,1.4,Penne With Black Beans,6.3,1.0,Pasta
315,37.4,13.2,Mozzarella Pasta,14.7,1.5,Pasta
343,32.7,21.5,Soba Noodles & Coconut Curry,11.2,1.1,Pasta
231,32.2,5.7,Spaghetti with Bay Scallops and Lemon,13.6,1.0,Pasta
116,19.9,2.9,Easy Pilaf,2.1,1.0,Pasta
197,19.1,7.3,Penne Chicken and Mushroom,13.9,0.8,Pasta
158,24.6,4.7,Vegan Bolognese,6.7,2.5,Pasta
157,12.4,6.7,Chicken Bacon Florentine Fettuccine,11.3,1.7,Pasta
178,18.2,6.6,Shrimp Fettuccine Alfredo,9.9,1.5,Pasta
225,27.0,8.2,Dragon Noodles with Crab,12.9,2.6,Pasta
191,11.0,11.9,BLT Alfredo Skillet Ravioli,9.2,0.0,Pasta
200,30.0,5.1,Skinny Fettuccine Alfredo,10.8,1.5,Pasta
159,26.1,3.9,Pasta and Bean salad,5.9,1.0,Pasta
134,24.8,2.3,Summer Pesto Pasta,4.5,2.8,Pasta
110,17.3,3.4,One Pan Pasta,3.7,1.9,Pasta
105,19.0,1.4,Penne With Pinto Beans,5.8,1.2,Pasta
208,20.0,10.0,Gouda & Spinach Mac,9.6,3.2,Pasta
80,15.0,1.4,Nutribullet Butter Bean and Broccoli Soba Noodles,3.7,1.7,Pasta
103,5.7,8.0,Thai Chicken and Zucchini Noodles,3.6,2.3,Pasta
141,11.3,5.6,Chicken Stroganoff,10.9,0.9,Pasta
268,40.7,8.4,Pasta Pascal,7.1,2.6,Pasta
142,11.9,7.0,Easy Ham and Noodles,7.7,2.1,Pasta
321,34.7,18.5,Coconut Green Curry and Soba,9.9,2.0,Pasta
119,13.6,3.4,Mexican Baked Ziti,9.7,2.3,Pasta
65,3.1,3.3,Lemon Garlic Chicken Zoodles,6.6,1.7,Pasta
63,7.8,1.6,Healthy Fettuccine Alfredo,4.5,1.2,Pasta
230,44.6,1.1,Pasta with Lentil Soup Sauce,9.4,2.1,Pasta
165,28.4,3.7,Homemade Rice a Roni,3.6,0.5,Pasta
183,17.6,7.5,Creamy Broccoli Chicken and Bacon Pasta,11.6,1.1,Pasta
239,46.4,3.4,Spinach and Pasta Shells,10.1,0.3,Pasta
136,14.0,4.9,Pressure Cooker Sloppy Lasanga,9.1,2.5,Pasta
255,48.0,4.6,Fresh Tomato Pasta,9.4,0.9,Pasta
143,27.2,2.5,Bow Ties with Veggies,5.4,2.0,Pasta
247,37.4,8.2,Creamy Avocado Pasta,6.7,1.6,Pasta
407,44.8,20.1,Egg Noodles with Brown Butter and Feta,12.1,2.1,Pasta
146,15.1,8.5,Sesame and Peanut Noodles,5.1,5.0,Pasta
108,3.7,9.3,Zucchini Alfredo,3.3,2.4,Pasta
400,35.4,20.1,Spaghetti Carbonara,18.4,1.3,Pasta
138,27.2,1.7,Pasta with Marinara Sauce,6.0,0.0,Pasta
230,27.4,12.7,Avocado Pasta,6.1,0.7,Pasta
154,22.4,3.9,Vodka Cream Pasta,2.5,3.0,Pasta
213,12.6,13.3,Cream Cheese Pasta,10.5,1.1,Pasta
77,11.2,2.7,One Pot Peanut Sesame Noodles and Veggies,2.6,2.2,Pasta
105,14.1,3.8,Couscous bake,3.6,2.0,Pasta
85,17.2,0.6,Armenian Rice Pilaf,2.1,0.5,Pasta
267,43.4,7.2,Syrian Spaghetti,7.8,3.7,Pasta
289,36.9,12.8,Spaghetti with Garlic and Basil,10.3,0.2,Pasta
233,27.3,12.7,Lovely Linguine,5.4,0.0,Pasta
157,27.8,3.3,Roasted Vegetable Pasta,6.4,2.2,Pasta
103,9.0,6.6,Basil Pesto Pasta with Roasted Veggies,2.4,3.0,Pasta
116,15.2,5.0,Lemon Spaghetti with Spinach,3.3,0.9,Pasta
56,8.2,1.5,Mushroom Stroganoff,3.7,1.7,Pasta
196,23.0,8.5,Pasta with Mince Meat Sauce,7.6,1.0,Pasta
211,18.3,11.2,Spinach Alfredo Lasagna,9.5,2.4,Pasta
87,12.9,3.0,Roasted Sweet Potato Mac and Cheese,2.6,1.7,Pasta
196,32.8,5.3,Bowties and Broccoli,7.9,0.7,Pasta
290,61.2,1.7,Lemon Pasta,12.5,0.7,Pasta
140,19.5,3.1,Tofu Stroganoff,8.4,2.1,Pasta
326,29.6,21.5,Pasta with Spicy Anchovy Sauce and Dill Bread Crumbs,5.0,2.2,Pasta
171,27.9,4.8,Pappardelle with Vegetable Bolognese,3.5,1.5,Pasta
162,19.2,5.8,Fontina Risotto with Chicken,6.7,0.5,Pasta
165,16.5,8.3,Zesty Tortellini Salad,6.0,2.1,Pasta
