calories,carb,fat,name,protein,sugar,type
82,14.3,2.2,Two Potato Salad with Mustard Chive Dressing,1.8,2.8,Salads
101,16.5,3.1,Caesar Potato Salad,2.2,0.9,Salads
135,23.5,2.2,Mexican Pasta Salad,5.9,2.1,Salads
156,15.7,9.0,Spinach and Cranberry Salad,6.5,10.2,Salads
113,6.8,8.5,Spinach Strawberry Salad,4.4,1.9,Salads
121,20.0,3.0,Warm Potato Salad Recipe,4.6,2.9,Salads
101,16.3,3.1,Vegan Turmeric Quinoa Power Bowls,3.2,0.7,Salads
66,16.9,0.2,Citrus Salad with Star Anise,0.7,14.4,Salads
185,1.7,14.4,Arugula and Fontina Frittata,12.2,1.0,Salads
152,5.6,12.1,Fennel and Celery Salad Dama Bianca,6.0,2.6,Salads
49,4.5,2.8,Creamy spinach,3.0,1.4,Salads
190,29.1,6.8,Stir Fried Garlic Chives with Chile,3.4,0.0,Salads
46,3.9,3.1,Asparagus with Olive and Orange Butter,2.1,2.0,Salads
37,7.7,1.5,Cherry Tomato and Lemon Salad,1.0,3.5,Salads
242,39.6,5.8,Eggplant Tartines with Hummus and Arugula,8.6,3.1,Salads
62,8.6,3.0,Carrots with Shallots Sage and Thyme,1.0,4.1,Salads
82,8.9,5.1,Carrot Cabbage Slaw with Cumin Vinaigrette,1.2,4.6,Salads
136,21.6,2.2,Dijon Cilantro Tuna Salad on Whole Grain Bread,7.7,5.8,Salads
117,4.4,8.2,Oven Roasted Plum Tomatoes,6.6,1.3,Salads
112,11.5,7.4,Grapefruit and Avocado Salad with Ginger Cassis Dressing,0.9,3.8,Salads
100,13.2,5.3,Beet and Tangerine Salad with Cranberry Dressing,1.0,10.1,Salads
411,7.0,43.0,Radicchio and Haricot Vert Salad with Candied Walnuts,1.6,4.7,Salads
100,6.4,4.5,Tarragon Crab Salad,8.7,1.3,Salads
81,8.2,5.4,Fennel and Carrot Slaw with Olive Dressing,1.1,3.9,Salads
48,4.4,3.3,Radicchio Red Cabbage and Tomatoes with Orange Vinaigrette,1.1,2.2,Salads
300,35.2,17.9,Radicchio and Arugula Salad with Dates Hazelnuts and Feta,4.2,29.9,Salads
145,15.6,8.7,Tabouleh,2.8,1.4,Salads
74,13.9,0.5,Black Bean Salad,4.2,1.2,Salads
34,8.0,0.1,Cucumber Watermelon Salad,0.6,6.5,Salads
112,10.3,6.1,First Class Bleu Cheese Salad,5.0,3.0,Salads
152,11.2,10.0,Elegant Endives,6.4,7.3,Salads
184,6.8,13.5,Chicken and Mango Salad with Ginger Orange Dressing,9.3,5.5,Salads
122,4.2,7.6,Chef Salad,9.7,1.1,Salads
106,13.2,4.4,Spanish White Beans with Spinach,4.6,0.9,Salads
63,8.8,1.6,Napa Cabbage Salad with Buttermilk Dressing,3.8,6.6,Salads
140,2.7,14.1,Red Salad with Champagne Vinaigrette,1.1,0.4,Salads
108,9.6,8.2,Roasted Acorn Squash with Chile Vinaigrette,0.8,0.2,Salads
99,16.8,3.8,Maple Orange Glazed Carrots,0.8,11.9,Salads
125,2.1,7.9,Asian Tuna Salad,11.6,0.8,Salads
184,11.0,10.8,Sweet potato bacon and egg salad,10.9,2.5,Salads
69,4.4,3.4,Asian Style Salad,5.9,2.2,Salads
216,16.8,15.8,Raw Kale Salad with Balsamic,4.9,10.5,Salads
337,5.1,34.9,Curry Spinach Salad,3.0,0.2,Salads
148,8.0,12.7,Brussel Sprouts in Duck Fat,2.9,1.9,Salads
90,11.7,3.8,Red Potato Salad,2.8,1.2,Salads
188,5.1,17.5,Arugula Salad,4.6,2.1,Salads
42,3.9,2.4,Spicy Sauteed Spinach,2.9,0.5,Salads
144,7.9,12.8,Orange Fennel and Avocado Salad,1.2,3.7,Salads
20,3.4,0.4,Very Green Salad,1.8,1.1,Salads
44,3.5,0.4,Traditional Indian Raita,6.8,2.6,Salads
103,12.7,4.9,Wild Rice Salad with Summer Vegetables,2.6,3.0,Salads
160,15.7,8.4,Lentil and Walnut Salad,7.1,1.3,Salads
159,22.9,6.4,Quinoa Spinach Salad with Lemon Vinaigrette,4.0,6.4,Salads
170,23.6,5.9,Lime Splashed Chickpea Salad,7.2,4.2,Salads
94,9.1,5.1,Edamame Slaw,4.5,3.7,Salads
91,12.2,3.3,Sun Dried Tomato & Lentil Salad,4.1,1.5,Salads
61,4.3,4.9,Cucumber Avocado Salad,1.1,1.9,Salads
163,13.8,10.5,Veggies in Peanut Sauce,6.2,4.6,Salads
112,16.5,3.3,Sweet Potato & Lentil Salad,4.3,3.0,Salads
71,4.2,4.3,Buffalo Chicken Salad,4.5,1.4,Salads
233,8.6,17.2,Fuji Apple Chicken Salad,13.0,1.8,Salads
283,11.4,18.8,Oven Fried Panko Chicken,16.1,1.0,Salads
93,16.0,1.6,Bean and Sweet Potato Salad,4.6,1.6,Salads
69,1.8,0.9,Dijon Dill and Cottage Cheese Tuna Salad,13.6,1.0,Salads
78,6.6,4.3,Pineapple Shrimp Salad,4.3,2.9,Salads
42,5.0,2.3,Cucumber Salad,0.7,3.0,Salads
83,6.3,6.2,Avocado Strawberry and Spinach Salad,1.4,2.4,Salads
237,35.2,6.9,Pasta Salad,8.3,2.5,Salads
82,9.0,5.1,Seaweed Salad,1.0,5.4,Salads
62,5.4,3.8,Tofu Salad,2.2,2.6,Salads
129,23.0,1.6,Quinoa and Black Beans,6.7,0.8,Salads
191,41.2,1.2,Simple Pasta Salad,5.1,1.6,Salads
143,10.2,7.3,Loaded Chicken Taco Salad with Cilantro Lime Dressing,9.3,1.7,Salads
37,3.4,1.8,Green Salad with Olives,3.0,0.9,Salads
35,4.4,1.8,Easy Lemon Dill Cucumbers,0.9,2.8,Salads
122,14.1,5.2,Whole Wheat Bread and Vegetable Salad,5.8,4.7,Salads
63,10.2,2.3,Mixed Greens with Sun Dried Tomato Dressing,3.1,3.9,Salads
116,5.1,7.7,Peach Heirloom Tomato and Burrata Salad,5.9,4.0,Salads
323,5.1,32.8,Homemade Creamy Caesar Dressing,4.2,1.4,Salads
96,13.0,4.3,Make Ahead Mediterranean Salad,2.3,5.0,Salads
90,11.4,4.8,Garlic & Lemon Butternut Squash Noodles,2.1,2.0,Salads
84,12.7,3.4,Spiced Eggplant Lentil Salad with Mango,2.3,7.8,Salads
47,10.1,1.0,Apple Celery Salad,0.4,7.2,Salads
46,3.7,3.3,Tomato and Radish Salad,1.0,2.1,Salads
50,7.7,2.0,Simple Coleslaw,1.2,4.5,Salads
79,7.4,4.5,Corn Zucchini Skillet,3.8,3.3,Salads
