calories,carb,fat,name,protein,sugar,type
270,9.5,18.4,Double Cheeseburger,16.5,0.3,Sandwiches
131,13.4,2.4,Quick and Easy Chicken Salad Sandwich,14.3,2.4,Sandwiches
137,4.5,6.5,Avocado and Greek Yogurt Chicken Salad,15.3,0.6,Sandwiches
155,21.8,5.3,Curried Chickpea Salad Sandwich,6.7,4.2,Sandwiches
175,18.4,9.6,Avocado with Feta & Pomegranate on Toast,5.7,6.0,Sandwiches
190,27.9,5.8,Fagioli on Toast,8.1,5.0,Sandwiches
149,19.5,5.5,Avocado white bean wrap,6.0,1.3,Sandwiches
112,10.7,6.4,Mama s Best Broiled Tomato Sandwich,3.4,3.4,Sandwiches
242,14.4,18.9,Tempeh BLT TLT,5.0,2.1,Sandwiches
258,10.7,19.2,Cream Cheese Jalapeno Hamburgers,10.6,3.0,Sandwiches
97,9.2,3.6,Chicken and Veggie Lunch Wrap,7.1,2.4,Sandwiches
180,25.3,6.5,Bologna Caesar Wraps,5.4,5.5,Sandwiches
224,30.5,6.9,Refried Bean Quesadillas,11.5,1.9,Sandwiches
126,6.5,8.2,Greek Yogurt Egg Salad Sandwich,6.7,1.3,Sandwiches
265,17.7,14.4,Reuben Sandwich,15.6,1.8,Sandwiches
308,15.5,21.6,Salami Cream Cheese Wrap,13.0,2.3,Sandwiches
234,17.2,12.8,Croque Monsieur Sliders,12.4,2.7,Sandwiches
279,25.8,14.7,Death by Cheese Sandwich,10.8,3.7,Sandwiches
232,23.4,9.7,Multi Grain Spicy Tuna Melt,14.0,2.5,Sandwiches
110,18.2,3.0,Hummus and Beets on Rye,5.1,2.1,Sandwiches
155,8.1,10.2,Gluten Free Patty Melt,7.6,0.9,Sandwiches
158,25.6,3.7,Ham and Quark Sandwich,6.8,2.5,Sandwiches
247,36.1,7.4,Hummus and Avocado Salad Sandwiches,10.0,3.1,Sandwiches
331,14.6,23.9,Pan toasted Mustard Ham and Cheese Sandwich,14.4,1.6,Sandwiches
173,3.3,12.5,Low Carb Lettuce Burger,11.8,1.1,Sandwiches
235,20.5,10.9,Roast Beef and Avocado Finger Sandwiches,14.1,2.1,Sandwiches
121,16.0,2.2,Lemon Pepper Tuna Sandwich,9.7,2.3,Sandwiches
252,0.4,18.6,Grilled Cheddar Stuffed Hamburgers,19.6,0.1,Sandwiches
308,20.9,18.8,Salami and Gouda Sandwich,16.8,3.1,Sandwiches
319,20.1,20.1,Grilled Ham and Cheese Sandwich,14.7,2.0,Sandwiches
235,30.7,5.9,Roast Beef Arugula and Shaved Parmesan on a Baguette,14.6,2.7,Sandwiches
265,18.7,14.7,Salami and Swiss Sandwich,14.5,2.5,Sandwiches
137,14.4,6.9,California Grilled Veggie Sandwich,4.8,3.4,Sandwiches
172,13.5,6.6,Roast Beef Sandwich Au Jus,14.3,1.3,Sandwiches
192,10.9,8.5,Roast Beef and Cheddar Sandwich,17.7,1.1,Sandwiches
149,8.0,6.5,Goat Cheese and Spinach Turkey Burgers,15.2,1.1,Sandwiches
203,17.4,6.5,BBQ Chicken Sandwich,18.1,6.3,Sandwiches
167,12.2,8.3,Chicken club sandwich,10.7,2.2,Sandwiches
200,2.6,15.8,Bacon Avocado and Chicken Sandwich on Keto Cloud Bread,11.7,1.3,Sandwiches
207,11.7,10.7,Slow Cooker Pulled Pork,15.1,9.9,Sandwiches
180,14.6,8.0,Hummus Philly Cheese Wrap,11.8,2.1,Sandwiches
179,4.5,12.2,Slow Cooker Pulled Barbecue Chicken,12.4,0.4,Sandwiches
159,7.9,7.2,Avocado and Lox Toast,16.5,0.9,Sandwiches
304,28.7,13.8,Pimento Cheese Sandwich,16.5,4.4,Sandwiches
52,7.8,1.2,Mushroom Burgers,3.7,2.5,Sandwiches
183,15.9,9.3,Flat Bread Pizza,9.3,2.5,Sandwiches
300,20.5,17.6,Grilled Ham and Monterey Cheese Sandwich,15.2,2.1,Sandwiches
263,14.9,13.8,Basic Chicken Quesadilla,18.9,1.1,Sandwiches
158,10.3,6.8,Spicy Chicken Fajita,13.5,1.4,Sandwiches
122,9.9,4.1,Chicken Wraps,10.9,1.5,Sandwiches
174,4.3,13.8,Ham and Avocado Egg Wrap,9.0,0.4,Sandwiches
171,11.7,7.7,Fried Egg and Ham Sandwich,13.0,1.8,Sandwiches
176,21.7,8.1,Hummus Pocket Sandwich,6.6,0.8,Sandwiches
268,22.7,12.4,Ham & Cheese Sandwich,16.4,2.2,Sandwiches
243,15.9,20.2,Mushroom Patacone Pita,2.5,3.8,Sandwiches
140,22.2,3.1,BBQ Tofu Sandwich,7.0,10.6,Sandwiches
230,11.6,12.9,Patty melt,16.3,2.2,Sandwiches
184,20.4,5.8,Turkey Ruben Sandwhich,12.0,4.0,Sandwiches
200,31.3,4.8,Vegan meatball sliders,7.6,9.3,Sandwiches
171,16.4,7.3,Rainbow Veggie Pinwheels,9.7,3.5,Sandwiches
130,16.1,2.7,Cottage Cheese Deli Rollups,10.1,2.9,Sandwiches
98,13.1,3.7,Bologna and Radish Toasted Sandwich,3.5,2.6,Sandwiches
120,13.0,4.4,Sardine Salad Sandwich,7.1,2.3,Sandwiches
171,12.7,7.8,Turkey and Artichoke Grilled Cheese,12.8,2.5,Sandwiches
103,14.0,3.5,Chickpea of the Sea Vegetarian Tuna Fish Sandwiches,4.5,1.4,Sandwiches
126,14.3,6.0,Turkey Apple BLT,4.8,6.8,Sandwiches
76,8.9,2.0,Spicy Shrimp Wrap,5.4,2.0,Sandwiches
130,17.6,4.7,Smashed White Bean and Avocado Sandwich,5.6,1.1,Sandwiches
113,14.9,2.7,Seitan Gyros,2.7,1.0,Sandwiches
160,19.0,8.0,Hummus Avocado Toast,5.0,2.0,Sandwiches
176,20.8,9.7,Apple Slice Sandwich,5.1,13.3,Sandwiches
111,14.7,3.4,Tuna Avocado Sandwich,6.2,2.7,Sandwiches
141,7.5,9.4,Grilled Halibut Sandwiches with Jalape o Slaw,7.4,2.8,Sandwiches
114,12.6,4.5,Broccoli Tofu and Feta Pitas,4.9,6.2,Sandwiches
121,11.5,6.0,Pickle and Cheddar Sandwich,5.6,1.9,Sandwiches
129,19.8,4.3,Fried Potato Sandwich,3.2,1.3,Sandwiches
310,11.3,24.7,BLT Grilled Cheese,11.2,1.8,Sandwiches
171,16.4,7.3,Chicken & Vegetable Wrap,9.7,3.5,Sandwiches
232,10.4,15.5,Pulled Pork Sandwich,12.3,3.7,Sandwiches
186,14.9,9.3,viled Eggs Style Breakfast Sandwich,10.4,2.5,Sandwiches
289,18.1,19.6,Cheese quesadilla,10.3,1.8,Sandwiches
126,15.6,3.3,Apple Turkey Burgers,8.9,4.9,Sandwiches
179,13.6,8.1,Prosciutto Manchego Sandwich with Spinach,12.5,0.4,Sandwiches
241,20.7,14.4,Spaghetti Sandwiches,7.1,3.6,Sandwiches
143,25.7,2.5,Goat Cheese and Pear Bagel,5.5,8.2,Sandwiches
252,28.9,11.2,Classic BLT,8.9,3.4,Sandwiches
368,22.2,24.1,Colby Jack and Cheddar Grilled Cheese,15.6,2.6,Sandwiches
326,28.0,18.4,Bacon Guacamole Grilled Cheese Sandwich,12.5,2.5,Sandwiches
127,17.1,4.6,Chickpea Salad Wraps,5.3,1.0,Sandwiches
162,10.5,7.1,Chicken Parm Hero,13.3,2.2,Sandwiches
184,5.9,10.5,Southwest Chicken and Bacon Wrap,15.8,1.0,Sandwiches
192,13.1,12.4,California Melt,8.9,2.1,Sandwiches
224,14.3,12.7,Chipotle Burgers,12.4,1.5,Sandwiches
182,20.6,6.0,Chicken Souvlaki,12.7,1.6,Sandwiches
190,14.4,8.5,Chicken bacon ranch wrap,13.5,1.5,Sandwiches
145,20.3,4.9,Fiesta Pita,6.3,1.3,Sandwiches
179,22.0,7.1,Lentil Cakes,7.7,1.9,Sandwiches
125,17.4,3.1,Mini Cheese and Turkey Melts,8.5,4.2,Sandwiches
138,7.0,10.9,Turkey Goat Cheese and Avocado Rolls,5.1,1.6,Sandwiches
288,24.9,19.2,Hot Peanut Butter and Banana Sandwich,7.1,8.4,Sandwiches
62,2.2,0.9,Shrimp Lettuce Wraps,10.8,1.5,Sandwiches
77,8.3,1.1,Cottage Cheese and Spinach Sandwich,8.5,2.7,Sandwiches
132,7.0,5.4,Lavash Chicken Wrap,16.8,0.2,Sandwiches
174,23.2,7.0,Barbecue Tofu Sandwiches,6.0,11.9,Sandwiches
108,5.9,4.4,French Dip Sandwich,10.9,0.3,Sandwiches
209,20.0,9.8,Curried Egg Sandwiches,9.8,2.7,Sandwiches
219,24.7,7.8,Spicy Tuna Melt,13.6,1.3,Sandwiches
242,15.2,14.9,Provolone and Broccoli Rabe Panini,12.3,0.9,Sandwiches
80,13.2,2.3,Veggie wrap,2.6,3.0,Sandwiches
111,14.1,5.5,Tomato and Mayo on Rye,3.2,2.4,Sandwiches
205,12.5,11.6,Turkey Bacon BLT Sandwich,13.1,1.9,Sandwiches
204,13.1,10.5,Ham and cheese sandwich,13.9,1.4,Sandwiches
173,14.7,8.4,BLT sandwich,9.5,2.4,Sandwiches
168,17.0,4.6,Chicken and Ranch Wrap,13.8,1.4,Sandwiches
384,39.7,21.3,Big PB&J Sandwich,14.2,15.7,Sandwiches
153,18.5,4.3,Turkey Sandwich,10.4,4.4,Sandwiches
187,10.4,10.4,Chicken and Avocado Burrito,13.7,0.4,Sandwiches
