calories,carb,fat,name,protein,sugar,type
60,4.8,4.4,Roasted Red Pepper and Tomato Soup,1.0,2.9,Soups
54,7.1,1.4,Berry Spinach and Avocado Smoothie,4.4,3.1,Soups
65,14.2,0.3,Gluten Free Vegan Pho,2.5,0.8,Soups
43,8.5,0.5,Mushroom and Soba Miso Soup,2.5,0.8,Soups
41,4.6,1.7,Tri Colour Sweet Pepper Soup,1.9,2.3,Soups
53,4.9,2.3,Russian Potato Soup with Meatballs,3.3,0.7,Soups
51,6.5,1.9,Spinach Tortellini Soup,2.3,0.5,Soups
53,6.5,2.0,Vegan French Onion Soup,1.1,1.0,Soups
21,2.7,1.1,Red Lentil Soup,0.7,0.7,Soups
75,13.6,0.2,Black Bean Soup with Lime,4.9,0.2,Soups
32,6.3,0.6,Sweet Potato Cauliflower Soup,1.0,2.1,Soups
33,5.8,0.9,Carrot Apple Ginger Soup,0.8,3.1,Soups
45,7.5,0.9,Tomato & Lentil Soup,2.4,1.4,Soups
46,6.9,1.1,Lentil and Tomato Soup,2.6,1.5,Soups
110,17.1,3.0,Barley Spinach and Mushrooms,4.3,0.6,Soups
72,9.0,2.9,Baked Potato Soup,3.0,0.8,Soups
68,5.5,3.4,Beef Tomato and Acini di Pepe Soup,4.1,1.5,Soups
104,6.8,6.0,Shrimp and Chorizo soup,6.8,1.5,Soups
48,5.4,2.4,Pumpkin Soup with Toasted Pumpkin Seeds,1.9,2.7,Soups
101,10.8,3.2,Chicken Pho,6.4,1.1,Soups
54,9.2,0.4,Crushed Lentil Soup,3.9,0.4,Soups
89,3.6,4.5,Shredded Chicken Chili,8.7,1.7,Soups
199,31.7,6.5,Curried Lentils,4.7,20.2,Soups
58,5.8,1.9,Quick and Easy Chicken Noodle Soup,4.5,1.2,Soups
90,12.7,3.8,Watercress Soup,2.1,2.0,Soups
23,1.2,1.1,Egg Drop Soup,1.7,0.2,Soups
35,3.1,1.5,Chinese Egg Drop Soup with Noodles,1.9,0.5,Soups
84,13.9,2.2,Vegetarian Bean Curry,3.6,1.8,Soups
32,5.8,0.7,Carrot Potage,1.1,1.7,Soups
126,13.6,7.8,Thai Coconut Curry Soup,2.2,0.7,Soups
41,3.2,2.9,Gazpacho,0.8,2.0,Soups
84,11.7,3.3,Sweet Potato Soup with Fried Pancetta and Rosemary Croutons,2.3,1.5,Soups
26,5.7,0.1,Simple Potato Soup,0.8,1.0,Soups
46,4.2,2.6,Asparagus Soup,2.1,2.4,Soups
22,2.7,0.9,Garlic Asparagus Soup,1.1,0.9,Soups
146,8.6,8.8,African Chicken Peanut Stew Recipe,9.3,1.9,Soups
103,17.5,2.0,Garbanzo Bean Soup,5.2,0.4,Soups
115,19.3,2.9,White Bean Barley Bowl,3.8,0.6,Soups
69,10.7,1.9,One Pot Vegan Lentil Chili,3.7,1.3,Soups
100,2.3,7.7,Keto Pork & Kohlrabi Stew,5.6,1.2,Soups
94,10.1,4.8,Vegan Peanut and Sweet Potato Stew,4.0,2.5,Soups
207,7.4,18.7,Vegan Almond Soup,4.9,2.4,Soups
85,1.9,7.1,Coconut Chicken Soup,4.4,0.5,Soups
95,4.1,7.3,Low Carb Crockpot Sausage Soup,4.3,1.8,Soups
63,9.2,1.9,Pea Potato & Parsley Soup With Blue Cheese Breadcrumbs,2.4,1.6,Soups
46,2.9,3.7,Basil Cucumber Gazpacho,0.7,1.5,Soups
86,2.0,4.6,Keto Crockpot Chicken Stew,8.9,1.0,Soups
83,13.7,3.1,Corn and Bell Pepper Chowder,2.1,2.1,Soups
16,1.9,0.4,Spinach Soup,1.4,0.5,Soups
50,6.2,0.8,Chicken Soup,4.6,0.9,Soups
21,4.6,0.3,Zesty Tomato Soup for One,0.9,2.9,Soups
57,9.8,1.6,Potato Soup,1.2,1.0,Soups
58,1.8,2.7,Chicken Avocado Lime Soup,6.7,0.4,Soups
73,9.5,2.6,Light Loaded Potato Soup,3.3,0.9,Soups
111,14.4,4.3,Creamy Chantarelle Mushroom Soup vegan,5.3,1.2,Soups
60,11.4,1.0,Barley Stew with Leeks Mushrooms and Greens,2.7,1.2,Soups
101,4.1,7.0,Bacon Cheddar Cauliflower Chowder,5.6,2.2,Soups
56,7.1,1.2,Chicken Shiitake and Wild Rice Soup,4.3,0.6,Soups
59,3.5,4.8,SuperFood Keto Soup,1.6,1.6,Soups
41,6.3,1.9,Butternut Squash Soup with Chestnuts,0.6,1.6,Soups
192,24.7,4.0,Chilled Buttermilk Soup,14.4,23.3,Soups
202,6.5,12.1,Greek Chicken Soup,15.6,0.2,Soups
43,6.4,1.6,Fennel Potato Soup with Smoked Salmon,1.3,1.3,Soups
106,3.2,10.4,Rich and Creamy Tomato Basil Soup,1.0,2.4,Soups
36,4.0,2.2,Basic tomato gazpacho,0.8,2.5,Soups
84,4.7,4.0,Sweet Potato and Beef Chili,7.6,1.6,Soups
77,7.2,4.4,Ham and Potato Soup,2.6,1.6,Soups
90,1.7,6.5,Keto Beef Stroganoff Soup,6.4,1.0,Soups
61,10.5,0.8,Eggplant & Black Eyed Pea Curry,3.3,1.0,Soups
37,3.8,1.5,Smoked Salmon and Broccoli soup,2.8,1.2,Soups
101,5.7,6.4,Skinny Hearty Cheeseburger Soup,5.3,2.1,Soups
58,5.7,4.0,Easy Thai Carrot Soup,1.0,2.1,Soups
34,5.7,0.6,Cleansing Vegetable Turmeric Soup,1.8,0.7,Soups
42,8.1,0.8,Sweet Potato and Chilli Soup,0.9,2.8,Soups
59,5.3,1.9,Slow Cooker Beef Potato and Quinoa Soup,5.1,0.6,Soups
31,5.5,0.6,Potato Soup,0.6,0.4,Soups
54,5.1,2.4,Smoked Salmon and Broccoli soup,3.7,1.8,Soups
60,6.7,2.6,Supergreen Mushroom & Orzo Soup,2.4,0.8,Soups
53,4.6,1.6,Quick and Easy Egg Drop Soup with Beef Mushrooms and Cilantro and Scallions,4.8,1.4,Soups
109,1.1,9.6,Keto Buffalo Ranch Chicken Soup,4.6,0.9,Soups
57,6.7,2.6,Potato Soup Italian Style,1.9,0.6,Soups
51,9.2,0.7,Lemon Kale & Bean Stew,2.6,0.3,Soups
131,1.1,11.0,Keto Garlic Chicken Soup,6.9,0.8,Soups
113,10.1,8.1,Vegan Persimmon Squash Soup,2.0,2.4,Soups
56,11.7,0.7,Vegan Moroccan Plantain Stew,1.0,5.3,Soups
27,1.6,1.3,Low Carb Cauliflower & Ham Soup,2.7,0.8,Soups
114,7.8,9.2,Vegan Brussels Sprouts Stew,3.0,1.8,Soups
13,2.3,0.2,Onion Carrot And Ginger Soup,0.7,1.2,Soups
47,5.4,2.4,Pumpkin Soup with Toasted Pumpkin Seeds,1.5,1.9,Soups
46,7.3,1.9,Slow Cooker Butternut Squash Soup,1.0,1.0,Soups
121,20.0,2.2,Moroccan Minestrone,6.6,1.1,Soups
24,3.3,0.5,Vegetable Miso Soup,1.3,0.6,Soups
24,4.3,0.5,Chicken noodle soup,0.6,1.0,Soups
63,8.1,2.1,Spicy Tortilla Soup with Shrimp and Avocado,3.0,0.8,Soups
68,7.4,2.3,Chicken and Spinach Soup with Fresh Pesto,4.6,0.9,Soups
36,5.0,1.8,Chilled Corn Soup,0.8,1.2,Soups
111,2.0,11.1,Keto Crock Pot Clam Chowder,1.4,1.3,Soups
64,2.9,5.6,Keto Cauliflower Parmesan Soup,1.3,1.1,Soups
81,15.4,0.8,Rivel Soup,3.0,0.6,Soups
99,5.3,6.2,Pepperoni Pizza Soup,5.3,2.6,Soups
96,6.1,6.2,Creamy Chicken and Corn Soup,4.5,3.1,Soups
32,6.5,0.3,Italian Vegetable Soup II,1.8,3.0,Soups
104,4.0,9.8,Spinach & Avocado Soup,1.6,0.3,Soups
27,2.8,1.5,Tomato Soup,0.9,1.4,Soups
82,10.7,3.4,Vegetarian West African Peanut Soup,3.1,1.4,Soups
69,4.9,2.3,Chicken Soup,7.2,1.9,Soups
317,41.5,13.4,Broccoli Spaghetti Soup,7.8,2.0,Soups
72,8.1,2.1,Lentil Soup,5.6,1.7,Soups
37,7.5,0.4,Friday Night Veggie Soup,1.2,0.8,Soups
154,2.1,11.6,Low Carb Chile Relleno Soup,10.4,0.7,Soups
68,11.1,1.2,One Pot Black Bean Soup,3.8,0.7,Soups
83,3.1,4.0,Creamy Chicken Soup,9.1,1.1,Soups
46,3.7,2.9,Creamy Asparagus Soup,2.0,1.7,Soups
62,8.2,2.2,Thai Shrimp Noodle Soup,2.6,0.7,Soups
